METRICS PROFILING RESULTS - Sorted by Total Time (cumulative)
================================================================================

         1645824 function calls (1598299 primitive calls) in 2.390 seconds

   Ordered by: cumulative time
   List reduced from 962 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12495    0.007    0.000    0.148    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:414(pchanged)
6510/3780    0.007    0.000    0.009    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/transforms.py:165(_invalidate_internal)
     1415    0.007    0.000    0.013    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/font_manager.py:1586(get_font)
     6435    0.007    0.000    0.009    0.000 /usr/lib/python3.12/copyreg.py:98(__newobj__)
     1050    0.006    0.000    0.014    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:1167(update_from)
   1120/5    0.006    0.000    0.067    0.013 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
    13650    0.006    0.000    0.007    0.000 {built-in method builtins.setattr}
     2835    0.006    0.000    0.006    0.000 {built-in method numpy.array}
     4515    0.006    0.000    0.014    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/lines.py:1309(set_ydata)
     3360    0.006    0.000    0.014    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/colors.py:278(to_rgba)
      525    0.006    0.000    0.008    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/numpy/lib/_shape_base_impl.py:628(column_stack)
     6160    0.006    0.000    0.021    0.000 /usr/lib/python3.12/contextlib.py:141(__exit__)
    490/1    0.006    0.000    0.022    0.022 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/text.py:926(get_window_extent)
     6160    0.006    0.000    0.021    0.000 /usr/lib/python3.12/contextlib.py:299(helper)



================================================================================
BREAKDOWN BY METRICS/EXPLAINER FUNCTION
================================================================================


CounterFactualExplainer:
----------------------------------------
         1645824 function calls (1598299 primitive calls) in 2.390 seconds

   Random listing order was used
